columna.name,Translation
Marca.temporal,Timestamp
X.Cuál.es.tu.rango.de.edad.,edad
En.Tegucigalpa.vives.en.casa.de.,lugar_residencia
X.Cuál.es.tu.lugar.de.origen.,lugar_origen
X.Trabajas.,trabaja
X.Cuál.es.tu.rango.de.ingreso.mensual.,ingreso_mensual
X.Tienes.familiares.que.ya.se.graduaron.de.la.universidad.,familiares_graduados
X.Tienes.familiares.que.estudiaron.la.misma.carrera.,familiares_misma_carrera
X.Investigaste.acerca.del.plan.de.estudios.de.la.carrera.que.estás.estudiando.,conocimiento_plan_estudios
X.Por.cuál.de.los.siguientes.medios.recibiste.ayuda.por.parte.de.la.universidad.para.elegir.tu.carrera.,asesoria_universitaria
X.Conoces.las.diferentes.areas.de.trabajo.de.la.carrera.estas.cursando.,conocimiento_areas_carrera
X.Has.realizado.anteriormente.un.test.vocacional..,previo_test_vocacional
X.Dónde.has.realizado.el.los.test.vocacional.les.,lugar_test_vocacional
X.En.qué.momento.has.realizado.el.test.,momento_test_vocacional
X.Los.resultados.del.test.realizado.fueron.acorde.a.la.carrera.cursada.actualmente.,resultados_congruentes_test
X.Sabes.de.la.existencia.de.los.test.vocacionales.que.se.realizan.en.UNAH.,conocimiento_test_unah
X.Cuáles.han.sido.las.razones.de.elegir.la.carrera.actual.,razones_eleccion_carrera
X.Cuál..es.el.grado.de.satisfacción.con.la.carrera.cursada.actualmente.,satisfaccion_carrera
X.Cuál.es.el.grado.de.satisfacción.en.cuanto.a.los.docentes.de.tu.facultad.de.ingeniería.,satisfaccion_docentes
X.Qué.tan.motivado.te.sientes.respecto.a.tu.carrera.,motivacion
X.Estás.estudiando.la.carrera.que.inicialmente.optaste.por.estudiar.,opcion_inicial_carrera
X.Has.realizado.un.cambio.de.carrera.,cambio_carrera
X.Estarias.interesado.en.que.el.departamento.de.la.Facultad.Ingenieria.te.proporcionara.una.herramienta.en.linea.para.recibir.una.orientación.vocacional..,interes_herramienta_tecnologica
X.Has.pensado.en.realizar.un.cambio.de.carrera.,pensado_cambio_carrera
X.Qué.factores.ha.intervenido.para.no.realizar.el.cambio.de.carrera.,factores_no_cambio
X.Cuántas.veces.has.realizado.un.cambio.de.carrera.,veces _cambio_carrera
X.Cuáles.fueron.los.factores.que.influenciaron.a.realizar.el.cambio.,factores_cambio_carrera
X.Qué.carrera.estás.estudiando.,nombre_carrera
X.Estudias.más.de.una.carrera...Cuál.,multiple_carrera
X.Te.hubiera.gustado.estudiar.otra.carrera..Cuál.,nombre_opcion_carrera
X.Qué.año.llevas.segun.tu.plan.de.estudios.,año_carrera
X.Qué.porcentaje.de.clases.llevas.cursadas.,procentaje_clases_cursadas
X.Qué.porcentaje.de.las.clases.cursadas.son.de.la.facultad.de.Ingeniería.,porcentaje_clases_facultad
X.Qué.porcentaje.de.las.clases.cursadas.son.de.la.facultad.de.Matemáticas.,porcentaje_clases_matematica
X.En.qué.rango.se.encuentra.tu.indice.académico.,indice_academico
X.Has.reprobado.alguna.clase.,reprobado
X.De.qué.año.eran.la.las.clases.,año_reprobacion
X.Has.reprobado.una.o.mas.veces.una.clase.de.facultad.de.ingeniería.,reprobado_mas_de_dos
X.Que.jornada.académica.tienes.este.periodo.,jornada
X.Te.gusta.estudiar.en.grupo.,estudia_grupo
X.En.promedio.cuántas.horas.estudias.al.dia.,horas_estudio_diario
X.Cómo.identificas.tus.habilidades.en.cuanto.a.las..siguientes.características...Comunicación.oral.y.escrita.,comunicación_oral_escrita 
X.Cómo.identificas.tus.habilidades.en.cuanto.a.las..siguientes.características...Relaciones.interpersonales.,relaciones_interpersonales 
X.Cómo.identificas.tus.habilidades.en.cuanto.a.las..siguientes.características...Creatividad.,creatividad
X.Cómo.identificas.tus.habilidades.en.cuanto.a.las..siguientes.características...Liderazgo.,liderazgo
X.Cómo.identificas.tus.habilidades.en.cuanto.a.las..siguientes.características...Autodidacta.,autodidacta
X.Con.cúal.de.las.siguientes.areas.te.sientes.más.identificado...Cálculo.mental.,calculo_mental
X.Con.cúal.de.las.siguientes.areas.te.sientes.más.identificado...Resolución.de.puzzles.o.rompecabezas.,resolucion_puzzles
X.Con.cúal.de.las.siguientes.areas.te.sientes.más.identificado...Juegos.de.estrategia.,juegos_estrategia
X.Con.cúal.de.las.siguientes.areas.te.sientes.más.identificado...Manejo.numérico.y.operaciones.matemática.,operaciones_matematicas
