"Timestamp","edad","lugar_residencia","lugar_origen","trabaja","ingreso_mensual","familiares_graduados","familiares_misma_carrera","conocimiento_plan_estudios","asesoria_universitaria","conocimiento_areas_carrera","previo_test_vocacional","lugar_test_vocacional","momento_test_vocacional","resultados_congruentes_test","conocimiento_test_unah","razones_eleccion_carrera","satisfaccion_carrera","satisfaccion_docentes","motivacion","opcion_inicial_carrera","cambio_carrera","interes_herramienta_tecnologica","pensado_cambio_carrera","factores_no_cambio","veces _cambio_carrera","factores_cambio_carrera","nombre_carrera","multiple_carrera","nombre_opcion_carrera","año_carrera","procentaje_clases_cursadas","porcentaje_clases_facultad","porcentaje_clases_matematica","indice_academico","reprobado","año_reprobacion","reprobado_mas_de_dos","jornada","estudia_grupo","horas_estudio_diario","comunicación_oral_escrita ","relaciones_interpersonales ","creatividad","liderazgo","autodidacta","calculo_mental","resolucion_puzzles","juegos_estrategia","operaciones_matematicas"
"2020/04/07 4:49:53 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","Si","0 - 3000 L.","Si","No","Si","Ninguna","Si","Si","Colegio;Internet","Antes de cursar la carrera","No","No","Influencia familiar","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí","Recursos y tiempo invertidos en la carrera",NA,"","Ingeniería en Sistemas","","Gastronomia",4,"mas de 50%","50-70%","0-30%","80-89","Si",2,"Si","Mañana;Tarde","Tal vez","2-4 horas","Alta","Media","Alta","Alta","Media","Medio","Alto","Alto","Medio"
"2020/04/07 5:15:30 p.m. GMT-5","21-24 años","Padres","Choluteca","No","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","Si","Internet","Durante la carrera","Si","Si","Interés general en el area de conocimiento","Muy satisfecho","Nada satisfecho",5,"Si","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería Química","","",3,"mas de 50%","30-50%","30-50%","70-79","Si",1,"Si","Mañana;Tarde","Si","mas de 4 horas","Alta","Alta","Alta","Muy alta","Alta","Muy alto","","Muy alto","Alto"
"2020/04/08 8:04:40 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","No","Ninguna","Si","No","","","","No","Demanda laboral","Poco satisfecho","Poco satisfecho",1,"Si","No","Si","Sí","El sistema de cambio de carrera no te lo permite",NA,"","Ingeniería Eléctrica","","Si",3,"mas de 50%","0-30%","50-70%","65-69","Si",2,"Si","Tarde;Noche","Si","0-2 horas","Muy alta","Muy alta","Media","Alta","Media","Medio","Muy alto","Alto","Medio"
"2020/04/09 11:22:32 a.m. GMT-5","21-24 años","Familiares","Comayagua","No","0 - 3000 L.","Si","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Poco satisfecho","Poco satisfecho",4,"Si","No","Si","Sí","Recursos y tiempo invertidos en la carrera;Opinion familiar/amigos",NA,"","Ingeniería Química","","",2,"0-20%","0-30%","30-50%","<65","Si",1,"Si","Mañana","No","0-2 horas","Muy alta","Alta","Muy alta","Media","Media","Medio","Alto","Alto","Medio"
"2020/04/11 2:56:00 p.m. GMT-5","21-24 años","Propia","Francisco Morazán","Si","3000- 6000 L.","Si","Si","Si","Ferias Vocacionales","Si","Si","Colegio","Antes de cursar la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","Tal vez","Recursos y tiempo invertidos en la carrera",NA,"","Ingeniería Civil","","Mercadotecnia",2,"0-20%","30-50%","50-70%","70-79","Si",1,"No","Mañana","Si","0-2 horas","Alta","Alta","Alta","Alta","Alta","Alto","Muy alto","Alto","Medio"
"2020/04/14 3:25:32 p.m. GMT-5","mayor de 28","Propia","Francisco Morazán","Si","Mayor a 6000 L.","Si","Si","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",5,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","No","No",2,"20-50%","0-30%","0-30%","<65","Si",1,"Si","Noche","No","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Muy alta","Alto","Muy alto","Muy alto","Alto"
"2020/04/14 3:28:00 p.m. GMT-5","mayor de 28","Padres","Francisco Morazán","No","0 - 3000 L.","Si","No","No","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Tal vez","Tu edad;Recursos y tiempo invertidos en la carrera;El sistema de cambio de carrera no te lo permite;No cuentas con todos los requisitos para el proceso.",NA,"","Ingeniería en Sistemas","no","Arquitectura o diseño grafico",3,"20-50%","30-50%","0-30%","<65","Si",1,"Si","Noche","Si","0-2 horas","Muy alta","Alta","Alta","Alta","Media","Medio","Alto","Muy alto","Bajo"
"2020/04/14 3:29:44 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","Si","Colegio;Internet","Durante la carrera","Si","No","Interés general en el area de conocimiento;Demanda laboral","Poco satisfecho","Muy satisfecho",4,"No","No","Si","No","",NA,"","Ingeniería en Sistemas","","",4,"mas de 50%","mas de 70%","mas de 70%","70-79","Si",3,"Si","Mañana","Tal vez","0-2 horas","Media","Media","Baja","Media","Media","Medio","Alto","Alto","Alto"
"2020/04/14 3:29:58 p.m. GMT-5","25-28 años","Aquiler independiente","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","","",1,"Factor económico;No era lo que esperaba","Ingeniería en Sistemas","","Musica",4,"mas de 50%","mas de 70%","30-50%","65-69","Si",1,"Si","Mañana;Noche","Tal vez","2-4 horas","Muy alta","Media","Muy alta","Alta","Alta","Alto","Muy alto","Muy alto","Medio"
"2020/04/14 3:32:17 p.m. GMT-5","mayor de 28","Padres","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","No","Ferias Vocacionales","Si","No","","","","No","Interés general en el area de conocimiento","No satisfecho","Poco satisfecho",1,"No","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","","Diseño Gráfico ",1,"0-20%","0-30%","0-30%","<65","Si",1,"Si","Tarde","No","0-2 horas","Alta","Alta","Alta","Media","Media","Medio","Medio","Medio","Medio"
