"Timestamp","edad","lugar_residencia","trabaja","ingreso_mensual","familiares_graduados","familiares_misma_carrera","conocimiento_plan_estudios","conocimiento_areas_carrera","previo_test_vocacional","momento_test_vocacional","resultados_congruentes_test","conocimiento_test_unah","satisfaccion_carrera","satisfaccion_docentes","motivacion","opcion_inicial_carrera","cambio_carrera","interes_herramienta_tecnologica","pensado_cambio_carrera","veces._cambio_carrera","nombre_carrera","nombre_opcion_carrera","año_carrera","procentaje_clases_cursadas","porcentaje_clases_facultad","porcentaje_clases_matematica","indice_academico","reprobado","año_reprobacion","reprobado_mas_de_dos","estudia_grupo","horas_estudio_diario","comunicación_oral_escrita.","relaciones_interpersonales.","creatividad","liderazgo","autodidacta","calculo_mental","resolucion_puzzles","juegos_estrategia","operaciones_matematicas","asesoria_universitaria","jornada","razones_eleccion_carrera","factores_no_cambio","factores_cambio_carrera","multiple_carrera","lugar_origen","lugar_test_vocacional"
"2020/04/07 4:49:53 p.m. GMT-5","21-24 años","Padres","Si","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","No","No","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Gastronomia",4,"mas de 50%","50-70%","0-30%","80-89","Si","2","Si","Tal vez","2-4 horas","Alta","Media","Alta","Alta","Media","Medio","Alto","Alto","Medio","Ninguna","Doble Jornada","Influencia Familiar/Conocidos","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","Internet"
"2020/04/07 5:15:30 p.m. GMT-5","21-24 años","Padres","No","Mayor a 6000 L.","Si","No","Si","Si","Si","Durante la carrera","Si","Si","Muy satisfecho","Nada satisfecho",5,"Si","Sí","Si","No aplica",1,"Ingeniería Química","No contestó",3,"mas de 50%","30-50%","30-50%","70-79","Si","1","Si","Si","mas de 4 horas","Alta","Alta","Alta","Muy alta","Alta","Muy alto","No contestó","Muy alto","Alto","Ninguna","Doble Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Sur","Internet"
"2020/04/08 8:04:40 p.m. GMT-5","21-24 años","Padres","Si","Mayor a 6000 L.","Si","No","No","Si","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",1,"Si","No","Si","Sí",0,"Ingeniería Eléctrica","Si",3,"mas de 50%","0-30%","50-70%","65-69","Si","2","Si","Si","0-2 horas","Muy alta","Muy alta","Media","Alta","Media","Medio","Muy alto","Alto","Medio","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","No cumple con requisitos requeridos","No aplica","No","Centro Oriental","No aplica"
"2020/04/09 11:22:32 a.m. GMT-5","21-24 años","Familiares","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",4,"Si","No","Si","Sí",0,"Ingeniería Química","No contestó",2,"0-20%","0-30%","30-50%","<65","Si","1","Si","No","0-2 horas","Muy alta","Alta","Muy alta","Media","Media","Medio","Alto","Alto","Medio","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","Opinion familiar/amigos","No aplica","No","Centro Occidental","No aplica"
"2020/04/11 2:56:00 p.m. GMT-5","21-24 años","Propia","Si","3000- 6000 L.","Si","Si","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","Tal vez",0,"Ingeniería Civil","Mercadotecnia",2,"0-20%","30-50%","50-70%","70-79","Si","1","No","Si","0-2 horas","Alta","Alta","Alta","Alta","Alta","Alto","Muy alto","Alto","Medio","Feria vocacional y Curso induccion","Unica Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","Colegio"
"2020/04/14 3:25:32 p.m. GMT-5","mayor de 28","Propia","Si","Mayor a 6000 L.","Si","Si","Si","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",5,"Si","No","Si","No",0,"Ingeniería en Sistemas","No",2,"20-50%","0-30%","0-30%","<65","Si","1","Si","No","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Muy alta","Alto","Muy alto","Muy alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 3:28:00 p.m. GMT-5","mayor de 28","Padres","No","0 - 3000 L.","Si","No","No","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","Arquitectura o diseño grafico",3,"20-50%","30-50%","0-30%","<65","Si","1","Si","Si","0-2 horas","Muy alta","Alta","Alta","Alta","Media","Medio","Alto","Muy alto","Bajo","Ninguna","Unica Jornada","Vocación","No cumple con requisitos requeridos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 3:29:44 p.m. GMT-5","21-24 años","Padres","Si","Mayor a 6000 L.","Si","No","Si","Si","Si","Durante la carrera","Si","No","Poco satisfecho","Muy satisfecho",4,"No","No","Si","No",0,"Ingeniería en Sistemas","No contestó",4,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","3","Si","Tal vez","0-2 horas","Media","Media","Baja","Media","Media","Medio","Alto","Alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","Internet"
"2020/04/14 3:29:58 p.m. GMT-5","25-28 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Musica",4,"mas de 50%","mas de 70%","30-50%","65-69","Si","1","Si","Tal vez","2-4 horas","Muy alta","Media","Muy alta","Alta","Alta","Alto","Muy alto","Muy alto","Medio","Ninguna","Jornada completa","Demanda laboral y Beneficio economico","No aplica","Factor económico","No","Centro Oriental","No aplica"
"2020/04/14 3:32:17 p.m. GMT-5","mayor de 28","Padres","Si","Mayor a 6000 L.","Si","No","No","Si","No","No aplica","Si","No","No satisfecho","Poco satisfecho",1,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Diseño Gráfico ",1,"0-20%","0-30%","0-30%","<65","Si","1","Si","No","0-2 horas","Alta","Alta","Alta","Media","Media","Medio","Medio","Medio","Medio","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
